Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série A,Time do S.A.P.O,45,15,0,4,1624.54052734375,1425.499755859375,199.040771484375,1
Série A,Analove10 ITAQUI GRANDE!!,42,14,0,5,1677.511474609375,1508.91015625,168.601318359375,2
Série A,Texas Club 2025,39,13,0,6,1615.908935546875,1506.969970703125,108.93896484375,3
Série A,cartola scheuer,39,13,0,6,1606.229736328125,1501.849365234375,104.38037109375,4
Série A,E.C. Bororé,33,11,0,8,1543.809814453125,1508.21044921875,35.599365234375,5
Série A,Atlético Colorado 2021,30,10,0,9,1541.58984375,1493.3994140625,48.1904296875,6
Série A,TIGRE LEON,30,10,0,9,1520.739501953125,1562.730224609375,-41.99072265625,7
Série A,SISO FC25,27,9,0,10,1587.37060546875,1558.810546875,28.56005859375,8
Série A,Tabajara de Inhaua FC2,27,9,0,10,1572.90185546875,1512.6298828125,60.27197265625,9
Série A,OlhaEleAiF.C!,27,9,0,10,1532.240966796875,1566.1005859375,-33.859619140625,10
Série A,Tatols Beants F.C,27,9,0,10,1509.240234375,1562.560302734375,-53.320068359375,11
Série A,FBC Colorado,24,8,0,11,1632.07958984375,1616.609619140625,15.469970703125,12
Série A,lsauer fc,24,8,0,11,1577.950439453125,1616.531494140625,-38.5810546875,13
Série A,Fedato Futebol Clube,24,8,0,11,1541.25048828125,1647.400390625,-106.14990234375,14
Série A,Gremiomaniasm,24,8,0,12,1515.479248046875,1664.620361328125,-149.14111328125,15
Série A,Rolo Compressor ZN,24,8,0,11,1489.10986328125,1565.94970703125,-76.83984375,16
Série A,BORGES ITAQUI F.C.,24,8,0,11,1468.890869140625,1478.2802734375,-9.389404296875,17
Série A,Eleis-Itaqui,24,8,0,11,1385.761474609375,1533.420166015625,-147.65869140625,18
Série A,Grêmio imortal 37,21,7,0,11,1488.63916015625,1447.020751953125,41.618408203125,19
Série A,seralex,15,5,0,14,1539.719970703125,1693.461181640625,-153.7412109375,20
