Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,Rolo Compressor ZN,FBC Colorado,11,6
1,2,BORGES ITAQUI F.C.,Analove10 ITAQUI GRANDE!!,3,2
1,3,cartola scheuer,seralex,17,20
1,4,Texas Club 2025,pura bucha /botafogo,15,19
1,5,lsauer fc,RHANKA DENTY FC25,18,10
1,6,DM Studio,TEAM LOPES 99,4,12
1,7,Dom Camillo68,Time do S.A.P.O,5,16
1,8,Tatols Beants F.C,MauHumor F.C.,14,9
1,9,Fedato Futebol Clube,A Lenda Super Vasco F.c,7,1
1,10,Gremiomaniasm,TIGRE LEON,8,13
2,1,lsauer fc,FBC Colorado,18,6
2,2,BORGES ITAQUI F.C.,cartola scheuer,3,17
2,3,Rolo Compressor ZN,Analove10 ITAQUI GRANDE!!,11,2
2,4,Texas Club 2025,seralex,15,20
2,5,pura bucha /botafogo,DM Studio,19,4
2,6,Time do S.A.P.O,RHANKA DENTY FC25,16,10
2,7,Tatols Beants F.C,TEAM LOPES 99,14,12
2,8,Fedato Futebol Clube,Dom Camillo68,7,5
2,9,MauHumor F.C.,Gremiomaniasm,9,8
2,10,TIGRE LEON,A Lenda Super Vasco F.c,13,1
3,1,FBC Colorado,Time do S.A.P.O,6,16
3,2,Rolo Compressor ZN,BORGES ITAQUI F.C.,11,3
3,3,Texas Club 2025,cartola scheuer,15,17
3,4,lsauer fc,Analove10 ITAQUI GRANDE!!,18,2
3,5,DM Studio,seralex,4,20
3,6,pura bucha /botafogo,Tatols Beants F.C,19,14
3,7,Fedato Futebol Clube,RHANKA DENTY FC25,7,10
3,8,TEAM LOPES 99,Gremiomaniasm,12,8
3,9,TIGRE LEON,Dom Camillo68,13,5
3,10,MauHumor F.C.,A Lenda Super Vasco F.c,9,1
4,1,Fedato Futebol Clube,FBC Colorado,7,6
4,2,BORGES ITAQUI F.C.,Texas Club 2025,3,15
4,3,lsauer fc,Rolo Compressor ZN,18,11
4,4,DM Studio,cartola scheuer,4,17
4,5,Time do S.A.P.O,Analove10 ITAQUI GRANDE!!,16,2
4,6,seralex,Tatols Beants F.C,20,14
4,7,Gremiomaniasm,pura bucha /botafogo,8,19
4,8,TIGRE LEON,RHANKA DENTY FC25,13,10
4,9,TEAM LOPES 99,A Lenda Super Vasco F.c,12,1
4,10,Dom Camillo68,MauHumor F.C.,5,9
5,1,TIGRE LEON,FBC Colorado,13,6
5,2,BORGES ITAQUI F.C.,lsauer fc,3,18
5,3,Texas Club 2025,DM Studio,15,4
5,4,Rolo Compressor ZN,Time do S.A.P.O,11,16
5,5,Tatols Beants F.C,cartola scheuer,14,17
5,6,Fedato Futebol Clube,Analove10 ITAQUI GRANDE!!,7,2
5,7,Gremiomaniasm,seralex,8,20
5,8,A Lenda Super Vasco F.c,pura bucha /botafogo,1,19
5,9,RHANKA DENTY FC25,MauHumor F.C.,10,9
5,10,TEAM LOPES 99,Dom Camillo68,12,5
