Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série B,BORGES ITAQUI F.C.,0,0,0,0,0.0,0.0,0.0,1
Série B,Dom Camillo68,0,0,0,0,0.0,0.0,0.0,2
Série B,FBC Colorado,0,0,0,0,0.0,0.0,0.0,3
Série B,Fedato Futebol Clube,0,0,0,0,0.0,0.0,0.0,4
Série B,Gremiomaniasm,0,0,0,0,0.0,0.0,0.0,5
Série B,JV5 Tricolor Gaúcho,0,0,0,0,0.0,0.0,0.0,6
Série B,MauHumor F.C.,0,0,0,0,0.0,0.0,0.0,7
Série B,Noah A 10,0,0,0,0,0.0,0.0,0.0,8
Série B,PUXE FC,0,0,0,0,0.0,0.0,0.0,9
Série B,Real SCI,0,0,0,0,0.0,0.0,0.0,10
Série B,Sport Clube PAIM,0,0,0,0,0.0,0.0,0.0,11
Série B,TIGRE LEON,0,0,0,0,0.0,0.0,0.0,12
Série B,TURNOLANDIA FC25,0,0,0,0,0.0,0.0,0.0,13
Série B,Tabajara de Inhaua PB7,0,0,0,0,0.0,0.0,0.0,14
Série B,Tatols Beants F.C,0,0,0,0,0.0,0.0,0.0,15
Série B,Texas Club 2025,0,0,0,0,0.0,0.0,0.0,16
Série B,cartola scheuer,0,0,0,0,0.0,0.0,0.0,17
Série B,lsauer fc,0,0,0,0,0.0,0.0,0.0,18
Série B,pura bucha /botafogo,0,0,0,0,0.0,0.0,0.0,19
Série B,seralex,0,0,0,0,0.0,0.0,0.0,20
