Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,BORGES ITAQUI F.C.,FBC Colorado,1,3
1,2,Tatols Beants F.C,Texas Club 2025,16,17
1,3,PUXE FC,pura bucha /botafogo,9,20
1,4,lsauer fc,Fedato Futebol Clube,19,4
1,5,TURNOLANDIA FC25,cartola scheuer,13,18
1,6,seralex,Dom Camillo68,21,2
1,7,JV5 Tricolor Gaúcho,Tabajara de Inhaua PB7,6,15
1,8,Gremiomaniasm,MauHumor F.C.,5,7
1,9,Sport Clube PAIM,TIGRE LEON,11,12
1,10,Real SCI,Noah A 10,10,8
2,1,FBC Colorado,Tabajara de Inhaua PB7,3,15
2,2,PUXE FC,Texas Club 2025,9,17
2,3,lsauer fc,Tatols Beants F.C,19,16
2,4,pura bucha /botafogo,TURNOLANDIA FC25,20,13
2,5,Fedato Futebol Clube,Dom Camillo68,4,2
2,6,cartola scheuer,JV5 Tricolor Gaúcho,18,6
2,7,MauHumor F.C.,seralex,7,21
2,8,Gremiomaniasm,TIGRE LEON,5,12
2,9,Noah A 10,BORGES ITAQUI F.C.,8,1
2,10,Real SCI,Sport Clube PAIM,10,11
3,1,FBC Colorado,cartola scheuer,3,18
3,2,Texas Club 2025,lsauer fc,17,19
3,3,PUXE FC,TURNOLANDIA FC25,9,13
3,4,Tatols Beants F.C,Dom Camillo68,16,2
3,5,JV5 Tricolor Gaúcho,pura bucha /botafogo,6,20
3,6,Fedato Futebol Clube,MauHumor F.C.,4,7
3,7,TIGRE LEON,seralex,12,21
3,8,Tabajara de Inhaua PB7,Noah A 10,15,8
3,9,Real SCI,Gremiomaniasm,10,5
3,10,Sport Clube PAIM,BORGES ITAQUI F.C.,11,1
4,1,FBC Colorado,pura bucha /botafogo,3,20
4,2,Texas Club 2025,TURNOLANDIA FC25,17,13
4,3,lsauer fc,Dom Camillo68,19,2
4,4,PUXE FC,JV5 Tricolor Gaúcho,9,6
4,5,Tatols Beants F.C,MauHumor F.C.,16,7
4,6,TIGRE LEON,Fedato Futebol Clube,12,4
4,7,cartola scheuer,Noah A 10,18,8
4,8,Real SCI,seralex,10,21
4,9,Tabajara de Inhaua PB7,Sport Clube PAIM,15,11
4,10,Gremiomaniasm,BORGES ITAQUI F.C.,5,1
5,1,PUXE FC,FBC Colorado,9,3
5,2,Dom Camillo68,Texas Club 2025,2,17
5,3,JV5 Tricolor Gaúcho,TURNOLANDIA FC25,6,13
5,4,MauHumor F.C.,lsauer fc,7,19
5,5,TIGRE LEON,Tatols Beants F.C,12,16
5,6,pura bucha /botafogo,Noah A 10,20,8
5,7,Fedato Futebol Clube,Real SCI,4,10
5,8,cartola scheuer,Sport Clube PAIM,18,11
5,9,seralex,BORGES ITAQUI F.C.,21,1
5,10,Tabajara de Inhaua PB7,Gremiomaniasm,15,5
