Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,lsauer fc,FBC Colorado,18,5
1,2,Real SCI,A Lenda Super Vasco F.c,12,1
1,3,PUXE FC,Analove10 ITAQUI GRANDE!!,9,2
1,4,Fedato Futebol Clube,cartola scheuer,6,17
1,5,PraiaBravaFC,Sport Clube PAIM,11,13
1,6,Texas Club 2025,Grêmio imortal 37,16,7
1,7,BORGES CLIMA FUT F.C,Dom Camillo68,3,4
1,8,HS SPORTS F.C,TIGRE LEON,8,14
1,9,seralex,Tatols Beants F.C,20,15
1,10,Pity10,pura bucha /botafogo,10,19
2,1,A Lenda Super Vasco F.c,FBC Colorado,1,5
2,2,Real SCI,PUXE FC,12,9
2,3,Analove10 ITAQUI GRANDE!!,cartola scheuer,2,17
2,4,Sport Clube PAIM,lsauer fc,13,18
2,5,Texas Club 2025,Fedato Futebol Clube,16,6
2,6,BORGES CLIMA FUT F.C,PraiaBravaFC,3,11
2,7,Grêmio imortal 37,HS SPORTS F.C,7,8
2,8,Tatols Beants F.C,Dom Camillo68,15,4
2,9,TIGRE LEON,Pity10,14,10
2,10,pura bucha /botafogo,seralex,19,20
3,1,FBC Colorado,Real SCI,5,12
3,2,cartola scheuer,PUXE FC,17,9
3,3,Sport Clube PAIM,A Lenda Super Vasco F.c,13,1
3,4,Texas Club 2025,Analove10 ITAQUI GRANDE!!,16,2
3,5,lsauer fc,BORGES CLIMA FUT F.C,18,3
3,6,HS SPORTS F.C,Fedato Futebol Clube,8,6
3,7,Tatols Beants F.C,PraiaBravaFC,15,11
3,8,Grêmio imortal 37,Pity10,7,10
3,9,pura bucha /botafogo,Dom Camillo68,19,4
3,10,seralex,TIGRE LEON,20,14
4,1,FBC Colorado,Sport Clube PAIM,5,13
4,2,cartola scheuer,Real SCI,17,12
4,3,Texas Club 2025,PUXE FC,16,9
4,4,BORGES CLIMA FUT F.C,A Lenda Super Vasco F.c,3,1
4,5,Analove10 ITAQUI GRANDE!!,HS SPORTS F.C,2,8
4,6,lsauer fc,Tatols Beants F.C,18,15
4,7,Pity10,Fedato Futebol Clube,10,6
4,8,pura bucha /botafogo,PraiaBravaFC,19,11
