Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série C,HS SPORTS F.C,3,1,0,0,60.86,29.76,31.099999999999998,1
Série C,Tatols Beants F.C,3,1,0,0,55.71,37.36,18.35,2
Série C,Texas Club 2025,3,1,0,0,53.66,37.94,15.719999999999999,3
Série C,pura bucha /botafogo,3,1,0,0,52.81,32.01,20.800000000000004,4
Série C,PÃO DE QUEIJO FC25,3,1,0,0,52.33,47.36,4.969999999999999,5
Série C,Fedato Futebol Clube,3,1,0,0,47.36,37.81,9.549999999999997,6
Série C,seralex,3,1,0,0,45.26,38.36,6.899999999999999,7
Série C,Tabajara de Inhaua PB7,3,1,0,0,39.73,31.76,7.969999999999995,8
Série C,DM Studio,3,1,0,0,37.01,23.4,13.61,9
Série C,TATITTA FC,3,1,0,0,35.56,29.86,5.700000000000003,10
Série C,cartola scheuer,0,0,0,1,47.36,52.33,-4.969999999999999,11
Série C,FBC Colorado,0,0,0,1,38.36,45.26,-6.899999999999999,12
Série C,Noah A 10,0,0,0,1,37.94,53.66,-15.719999999999999,13
Série C,MauHumor F.C.,0,0,0,1,37.81,47.36,-9.549999999999997,14
Série C,pra sempre imortal fc,0,0,0,1,37.36,55.71,-18.35,15
Série C,FC castelo Branco 2,0,0,0,1,32.01,52.81,-20.800000000000004,16
Série C,lsauer fc,0,0,0,1,31.76,39.73,-7.969999999999995,17
Série C,TIGRE LEON,0,0,0,1,29.86,35.56,-5.700000000000003,18
Série C,Gremiomaniasm,0,0,0,1,29.76,60.86,-31.099999999999998,19
Série C,Dom Camillo68,0,0,0,1,23.4,37.01,-13.61,20
