Rodada,Confronto,Time A,Time B,ID A,ID B
1,1,TEAM LOPES 99,TIGRE LEON,13,14
1,2,Fedato Futebol Clube,Dom Camillo68,5,4
1,3,Texas Club 2025,S.E.R. GRILLO,16,10
1,4,HS SPORTS F.C,seralex,6,20
1,5,Noah A 10,Cril Futebol Club,9,2
1,6,cartola scheuer,SERGRILLO,17,11
1,7,Tatols Beants F.C,Super Vasco f.c,15,12
1,8,DM Studio,lsauer fc,3,18
1,9,pura bucha /botafogo,ITAQUI F. C.,19,7
1,10,BORGES CLIMA FUT F.C,KP JUV.,1,8
2,1,cartola scheuer,TIGRE LEON,17,14
2,2,Dom Camillo68,S.E.R. GRILLO,4,10
2,3,Fedato Futebol Clube,HS SPORTS F.C,5,6
2,4,Texas Club 2025,TEAM LOPES 99,16,13
2,5,Noah A 10,seralex,9,20
2,6,Cril Futebol Club,Super Vasco f.c,2,12
2,7,SERGRILLO,lsauer fc,11,18
2,8,pura bucha /botafogo,Tatols Beants F.C,19,15
2,9,KP JUV.,DM Studio,8,3
2,10,ITAQUI F. C.,BORGES CLIMA FUT F.C,7,1
3,1,TIGRE LEON,lsauer fc,14,18
3,2,Dom Camillo68,HS SPORTS F.C,4,6
3,3,S.E.R. GRILLO,TEAM LOPES 99,10,13
3,4,Noah A 10,Fedato Futebol Clube,9,5
3,5,cartola scheuer,Texas Club 2025,17,16
3,6,Super Vasco f.c,seralex,12,20
3,7,Cril Futebol Club,pura bucha /botafogo,2,19
3,8,KP JUV.,SERGRILLO,8,11
3,9,BORGES CLIMA FUT F.C,Tatols Beants F.C,1,15
3,10,ITAQUI F. C.,DM Studio,7,3
4,1,TIGRE LEON,KP JUV.,14,8
4,2,TEAM LOPES 99,Dom Camillo68,13,4
4,3,Noah A 10,HS SPORTS F.C,9,6
4,4,cartola scheuer,S.E.R. GRILLO,17,10
4,5,Super Vasco f.c,Fedato Futebol Clube,12,5
4,6,lsauer fc,Texas Club 2025,18,16
4,7,seralex,pura bucha /botafogo,20,19
4,8,Cril Futebol Club,BORGES CLIMA FUT F.C,2,1
4,9,ITAQUI F. C.,SERGRILLO,7,11
4,10,DM Studio,Tatols Beants F.C,3,15
5,1,ITAQUI F. C.,TIGRE LEON,7,14
5,2,Dom Camillo68,Noah A 10,4,9
5,3,TEAM LOPES 99,cartola scheuer,13,17
5,4,Super Vasco f.c,HS SPORTS F.C,12,6
5,5,S.E.R. GRILLO,lsauer fc,10,18
5,6,pura bucha /botafogo,Fedato Futebol Clube,19,5
5,7,Texas Club 2025,KP JUV.,16,8
5,8,seralex,BORGES CLIMA FUT F.C,20,1
5,9,DM Studio,Cril Futebol Club,3,2
5,10,SERGRILLO,Tatols Beants F.C,11,15
6,1,Tatols Beants F.C,TIGRE LEON,15,14
6,2,Dom Camillo68,cartola scheuer,4,17
6,3,Super Vasco f.c,Noah A 10,12,9
6,4,TEAM LOPES 99,lsauer fc,13,18
6,5,pura bucha /botafogo,HS SPORTS F.C,19,6
6,6,KP JUV.,S.E.R. GRILLO,8,10
6,7,BORGES CLIMA FUT F.C,Fedato Futebol Clube,1,5
6,8,Texas Club 2025,ITAQUI F. C.,16,7
6,9,seralex,DM Studio,20,3
6,10,Cril Futebol Club,SERGRILLO,2,11
7,1,TIGRE LEON,Cril Futebol Club,14,2
7,2,Dom Camillo68,Super Vasco f.c,4,12
7,3,lsauer fc,cartola scheuer,18,17
7,4,Noah A 10,pura bucha /botafogo,9,19
7,5,TEAM LOPES 99,KP JUV.,13,8
7,6,HS SPORTS F.C,BORGES CLIMA FUT F.C,6,1
7,7,S.E.R. GRILLO,ITAQUI F. C.,10,7
7,8,Fedato Futebol Clube,DM Studio,5,3
7,9,Tatols Beants F.C,Texas Club 2025,15,16
7,10,SERGRILLO,seralex,11,20
8,1,seralex,TIGRE LEON,20,14
8,2,lsauer fc,Dom Camillo68,18,4
8,3,Super Vasco f.c,pura bucha /botafogo,12,19
8,4,KP JUV.,cartola scheuer,8,17
8,5,BORGES CLIMA FUT F.C,Noah A 10,1,9
8,6,TEAM LOPES 99,ITAQUI F. C.,13,7
8,7,DM Studio,HS SPORTS F.C,3,6
8,8,Tatols Beants F.C,S.E.R. GRILLO,15,10
8,9,Fedato Futebol Clube,SERGRILLO,5,11
8,10,Texas Club 2025,Cril Futebol Club,16,2
9,1,Fedato Futebol Clube,TIGRE LEON,5,14
9,2,pura bucha /botafogo,Dom Camillo68,19,4
9,3,lsauer fc,KP JUV.,18,8
9,4,BORGES CLIMA FUT F.C,Super Vasco f.c,1,12
9,5,cartola scheuer,ITAQUI F. C.,17,7
9,6,Noah A 10,DM Studio,9,3
9,7,TEAM LOPES 99,Tatols Beants F.C,13,15
9,8,HS SPORTS F.C,SERGRILLO,6,11
9,9,S.E.R. GRILLO,Cril Futebol Club,10,2
9,10,Texas Club 2025,seralex,16,20
10,1,HS SPORTS F.C,TIGRE LEON,6,14
10,2,KP JUV.,Dom Camillo68,8,4
10,3,BORGES CLIMA FUT F.C,pura bucha /botafogo,1,19
10,4,lsauer fc,ITAQUI F. C.,18,7
10,5,DM Studio,Super Vasco f.c,3,12
10,6,cartola scheuer,Tatols Beants F.C,17,15
10,7,Noah A 10,SERGRILLO,9,11
10,8,TEAM LOPES 99,Cril Futebol Club,13,2
10,9,seralex,S.E.R. GRILLO,20,10
10,10,Texas Club 2025,Fedato Futebol Clube,16,5
11,1,Noah A 10,TIGRE LEON,9,14
11,2,Dom Camillo68,BORGES CLIMA FUT F.C,4,1
11,3,ITAQUI F. C.,KP JUV.,7,8
11,4,pura bucha /botafogo,DM Studio,19,3
11,5,lsauer fc,Tatols Beants F.C,18,15
11,6,Super Vasco f.c,SERGRILLO,12,11
11,7,cartola scheuer,Cril Futebol Club,17,2
11,8,seralex,TEAM LOPES 99,20,13
11,9,HS SPORTS F.C,Texas Club 2025,6,16
11,10,S.E.R. GRILLO,Fedato Futebol Clube,10,5
12,1,Super Vasco f.c,TIGRE LEON,12,14
