Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série D,Texas Club 2025,42,14,0,5,1615.908935546875,1374.359375,241.549560546875,1
Série D,Noah A 10,40,13,1,5,1615.810791015625,1445.489990234375,170.32080078125,2
Série D,MauHumor F.C.,39,13,0,6,1718.8212890625,1595.940673828125,122.880615234375,3
Série D,FC castelo Branco 2,39,13,0,6,1528.729736328125,1502.820556640625,25.9091796875,4
Série D,FIGUEIRA DA ILHA,33,11,0,8,1583.3603515625,1578.71044921875,4.64990234375,5
Série D,lsauer fc,33,11,0,8,1577.950439453125,1455.7099609375,122.240478515625,6
Série D,Tabajara de Inhaua FC2,33,11,0,8,1572.90185546875,1478.519287109375,94.382568359375,7
Série D,pura bucha /botafogo,33,11,0,8,1491.33984375,1431.740478515625,59.599365234375,8
Série D,JV5 Tricolor Gaúcho,30,10,0,9,1610.15966796875,1600.670166015625,9.489501953125,9
Série D,RHANKA DENTY FC25,30,10,0,9,1586.30029296875,1522.35009765625,63.9501953125,10
Série D,seralex,30,10,0,9,1539.719970703125,1525.599365234375,14.12060546875,11
Série D,VASCO MARTINS FC,27,9,0,10,1415.60009765625,1469.660400390625,-54.060302734375,12
Série D,FC Los Castilho,25,8,1,10,1509.77978515625,1520.879638671875,-11.099853515625,13
Série D,Tatols Beants F.C,24,8,0,11,1509.240234375,1582.099853515625,-72.859619140625,14
Série D,A Lenda Super Vasco F.c,21,7,0,12,1603.438720703125,1649.510498046875,-46.07177734375,15
Série D,Fedato Futebol Clube,21,7,0,12,1541.25048828125,1614.950439453125,-73.699951171875,16
Série D,pra sempre imortal fc,21,7,0,12,1534.039794921875,1616.22998046875,-82.190185546875,17
Série D,TIGRE LEON,21,7,0,12,1520.739501953125,1602.280517578125,-81.541015625,18
Série D,TATITTA FC,18,6,0,13,1307.719970703125,1528.530029296875,-220.81005859375,19
Série D,Santo Ângelo United,9,3,0,16,1325.969970703125,1612.72998046875,-286.760009765625,20
