Grupo,Nome do Time,Pontos,Vitórias,Empates,Derrotas,Total Cartola,Cartola Sofrido,Saldo Cartola,Posição
Série D,OlhaEleAiF.C!,6,2,0,0,199.18017578125,148.97021484375,50.2099609375,1
Série D,Time do S.A.P.O,6,2,0,0,176.93994140625,157.080078125,19.85986328125,2
Série D,Atlético Colorado 2021,6,2,0,0,163.52978515625,143.8798828125,19.64990234375,3
Série D,SISO FC25,6,2,0,0,161.18017578125,136.040283203125,25.139892578125,4
Série D,cartola scheuer,6,2,0,0,159.47998046875,145.27001953125,14.2099609375,5
Série D,Eleis-Itaqui,3,1,0,1,165.9404296875,167.7900390625,-1.849609375,6
Série D,Grêmio imortal 37,3,1,0,1,160.940185546875,160.68017578125,0.260009765625,7
Série D,Tabajara de Inhaua FC2,3,1,0,1,157.4404296875,151.8798828125,5.560546875,8
Série D,Rolo Compressor ZN,3,1,0,1,156.4404296875,154.48046875,1.9599609375,9
Série D,Fedato Futebol Clube,3,1,0,1,155.0703125,169.509765625,-14.439453125,10
Série D,Gremiomaniasm,3,1,0,1,154.449951171875,155.7900390625,-1.340087890625,11
Série D,E.C. Bororé,3,1,0,1,154.38037109375,141.170166015625,13.210205078125,12
Série D,TIGRE LEON,3,1,0,1,152.43994140625,167.919921875,-15.47998046875,13
Série D,Analove10 ITAQUI GRANDE!!,3,1,0,1,148.77978515625,146.43017578125,2.349609375,14
Série D,Tatols Beants F.C,3,1,0,1,139.919921875,141.490234375,-1.5703125,15
Série D,Texas Club 2025,0,0,0,2,153.68017578125,185.43994140625,-31.759765625,16
Série D,lsauer fc,0,0,0,2,151.669921875,161.080078125,-9.41015625,17
Série D,BORGES ITAQUI F.C.,0,0,0,2,142.47998046875,181.0400390625,-38.56005859375,18
Série D,seralex,0,0,0,2,141.2900390625,166.34033203125,-25.05029296875,19
Série D,FBC Colorado,0,0,0,2,136.68994140625,149.64013671875,-12.9501953125,20
