Clube ID,% Vitorias Casa,% Empates Casa,% Derrotas Casa,% Vitorias Fora,% Empates Fora,% Derrotas Fora
FLA,66.66666666666666,33.33333333333333,0.0,60.0,20.0,20.0
CRU,83.33333333333334,16.666666666666664,0.0,33.33333333333333,33.33333333333333,33.33333333333333
RBB,57.14285714285714,14.285714285714285,28.57142857142857,60.0,20.0,20.0
PAL,40.0,20.0,40.0,83.33333333333334,0.0,16.666666666666664
BAH,66.66666666666666,33.33333333333333,0.0,33.33333333333333,16.666666666666664,50.0
FLU,80.0,20.0,0.0,33.33333333333333,16.666666666666664,50.0
CAM,50.0,50.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333
BOT,80.0,20.0,0.0,16.666666666666664,33.33333333333333,50.0
MIR,60.0,40.0,0.0,16.666666666666664,50.0,33.33333333333333
COR,66.66666666666666,16.666666666666664,16.666666666666664,0.0,50.0,50.0
GRE,42.857142857142854,42.857142857142854,14.285714285714285,20.0,20.0,60.0
CEA,66.66666666666666,16.666666666666664,16.666666666666664,0.0,40.0,60.0
VAS,50.0,16.666666666666664,33.33333333333333,16.666666666666664,0.0,83.33333333333334
SAO,28.57142857142857,42.857142857142854,28.57142857142857,0.0,60.0,40.0
SAN,20.0,40.0,40.0,28.57142857142857,0.0,71.42857142857143
VIT,33.33333333333333,33.33333333333333,33.33333333333333,0.0,50.0,50.0
INT,40.0,20.0,40.0,0.0,57.14285714285714,42.857142857142854
FOR,33.33333333333333,16.666666666666664,50.0,0.0,50.0,50.0
JUV,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,100.0
SPT,0.0,40.0,60.0,0.0,16.666666666666664,83.33333333333334
