Clube ID,Jogos,Pontos,Gols Marcados,Gols Sofridos,SG Total,Peso Casa,Peso Fora
FLA,11,24,24.0,4.0,20.0,185.2,139.8
CRU,12,24,17.0,8.0,9.0,135.2,102.2
RBB,12,23,14.0,11.0,3.0,140.6,112.19999999999999
PAL,11,22,12.0,8.0,4.0,160.8,132.6
BAH,12,21,14.0,11.0,3.0,145.4,105.39999999999999
FLU,11,20,15.0,12.0,3.0,133.39999999999998,97.39999999999999
CAM,12,20,13.0,10.0,3.0,143.4,106.39999999999999
BOT,11,18,14.0,7.0,7.0,147.20000000000002,104.0
MIR,11,17,17.0,12.0,5.0,110.0,79.0
COR,12,16,13.0,15.0,-2.0,133.6,89.19999999999999
GRE,12,16,12.0,15.0,-3.0,106.60000000000001,75.60000000000001
CEA,11,15,13.0,11.0,2.0,110.4,74.80000000000001
VAS,12,13,14.0,16.0,-2.0,108.19999999999999,71.6
SAO,12,12,10.0,14.0,-4.0,104.8,72.8
INT,12,11,12.0,18.0,-6.0,129.2,86.2
VIT,12,11,10.0,14.0,-4.0,105.2,71.4
SAN,12,11,11.0,14.0,-3.0,99.4,67.80000000000001
FOR,12,10,12.0,18.0,-6.0,94.39999999999999,60.0
JUV,11,8,8.0,24.0,-16.0,92.8,54.599999999999994
SPT,11,3,5.0,18.0,-13.0,75.2,49.0
