Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
1,100652,Yuri Alberto,COR,Atacante,visitante,2.9,2.0,1.0,,,,,,,,,,,,,,,,,,
1,100742,Matheus Henrique,CRU,Meia,mandante,-1.9,,,1.0,3.0,,,,,,,,,,,,,,,,
1,100846,Lucas Esteves,GRE,Lateral,mandante,2.8,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
1,100898,Vitinho,BOT,Lateral,visitante,10.7,,,,1.0,4.0,,1.0,,,,,,,,,,,,,
1,100969,Ronald Lopes,VIT,Meia,visitante,-1.1,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
1,101002,Júnior Santos,CAM,Atacante,visitante,1.7,1.0,1.0,,,,,,,,,,,,,,,,,,
1,101027,Diego,CEA,Lateral,visitante,13.8,,4.0,,,4.0,1.0,,1.0,,,,,,,,,,,,
1,101290,Ferreira,SAO,Atacante,mandante,4.2,,3.0,,1.0,2.0,,,,,,,,,,,,,,,
1,101314,Ademir,BAH,Atacante,mandante,4.7,1.0,1.0,,,2.0,,,,,,,,,,,,,,,
1,101319,Guga,FLU,Lateral,visitante,2.5,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
1,101573,Pepê,VIT,Meia,visitante,4.7,,4.0,,1.0,2.0,,,,,,,,,,,,,,,
1,101594,Hugo Moura,VAS,Meia,mandante,3.3,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
1,101752,Claudinho,VIT,Lateral,visitante,3.7,,2.0,,1.0,2.0,,,,,,,,,,,,,,,
1,101908,Willian Machado,CEA,Zagueiro,visitante,0.0,,,,,,,,,,,,,,,,,,,,
1,101960,Vitinho,INT,Atacante,visitante,2.4,,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,
1,102130,Piquerez,PAL,Lateral,mandante,5.8,,,,,,1.0,1.0,,,,,,,,,,,,,
1,102253,Lucas Halter,VIT,Zagueiro,visitante,-1.3,,,1.0,1.0,,,,,,,,,,,,,,,,
1,102256,Rollheiser,SAN,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
1,102340,Cacá,COR,Zagueiro,visitante,0.5,,1.0,,,,,,,,,,,,,,,,,,
1,102928,Canobbio,FLU,Atacante,visitante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
1,102950,Facundo Torres,PAL,Atacante,mandante,1.7,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1,102975,Escobar,SAN,Lateral,visitante,10.2,,3.0,,1.0,6.0,,,,,,,,,,,,,,,
1,103014,Laquintana,RBB,Atacante,mandante,10.1,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,
1,103056,Gabriel Brazão,SAN,Goleiro,visitante,1.9,,,,,,,,,,,3.0,2.0,,,,,,,,
1,103295,Eric Ramires,RBB,Meia,mandante,8.7,,2.0,,1.0,,,,,1.0,,,,,,,,,,,
